𪜀	fnv
𪜁	gbj
𪜂	gvyu
𪜃	gkvn
𪜄	gisk
𪜅	sufj
𪜆	gxxh
𪜇	dnww
𪜈	hgan
𪜉	khgh
𪜊	ynb	ynv
𪜋	ygat
𪜌	ejd
𪜍	tfiq
𪜎	tdjm
𪜏	tdut
𪜐	nwxv
𪜑	gsnb
𪜒	nfkd
𪜓	wrhn
𪜔	vmad
𪜕	ftjn
𪜖	nfmd	nflf
𪜗	vakg
𪜘	dnhc
𪜙	vdja
𪜚	inst	istn
𪜛	ebnh
𪜜	uxbh
𪜝	cbaw
𪜞	fcdt
𪜟	ybvc
𪜠	ymyu
𪜡	ntyn
𪜢	yhjf
𪜣	ucwa
𪜤	ywwy
𪜥	ylkh
𪜦	ypsl
𪜧	wqy
𪜨	wgvg
𪜩	wqcy
𪜪	wqxn
𪜫	wnfg
𪜬	wfiu
𪜭	wlng
𪜮	whg
𪜯	wkln
𪜰	wty
𪜱	wtu
𪜲	wryy
𪜳	wnan
𪜴	wxcy
𪜵	wxjg
𪜶	wldy
𪜷	wesy
𪜸	wpbg
𪜹	wng
𪜺	wxfy
𪜻	wfoy
𪜼	wahh
𪜽	wjff
𪜾	wegl
𪜿	wjvg
𪝀	wqeh
𪝁	wekx
𪝂	wyjg
𪝃	wtcy
𪝄	wdun
𪝅	wsty
𪝆	wayn
𪝇	whmt
𪝈	wepc
𪝉	wtsy
𪝊	wyqy
𪝋	wshg
𪝌	walg
𪝍	wdeg
𪝎	wswc
𪝏	waqk
𪝐	wdjb
𪝑	wjlg
𪝒	wwdc
𪝓	wwae
𪝔	wqbn
𪝕	wwvl
𪝖	wamy
𪝗	swwq
𪝘	wdep
𪝙	wfcl
𪝚	wjiq
𪝛	wrvc
𪝜	wwnh
𪝝	weud
𪝞	wuwl
𪝟	wxuu
𪝠	wlat
𪝡	wajd
𪝢	wlye
𪝣	wpdk
𪝤	wpgw
𪝥	wdmj
𪝦	wffk	wfkk
𪝧	wjoo
𪝨	wqao
𪝩	wudh
𪝪	wnhh
𪝫	wgoc
𪝬	wdyf
𪝭	whad
𪝮	wytq
𪝯	wujf
𪝰	wgcy
𪝱	wmwh
𪝲	towg
𪝳	wiaw
𪝴	wsdp
𪝵	wqyj
𪝶	wynn	wynx
𪝷	wfvq
𪝸	wafy
𪝹	wynt
𪝺	wfnc
𪝻	wgcs
𪝼	wmmv
𪝽	whmm
𪝾	wdej
𪝿	jbqb
𪞀	iqqh
𪞁	qkqc
𪞂	qkqj
𪞃	iqjg
𪞄	tfqd
𪞅	ycqk
𪞆	iqho
𪞇	wgwv
𪞈	wxfj
𪞉	fkaw
𪞊	wumk
𪞋	vcew
𪞌	ulyk
𪞍	uvok
𪞎	mdd
𪞏	pqbb
𪞐	pwbf
𪞑	pwkh
𪞒	pfqf
𪞓	pwye
𪞔	pwbc
𪞕	pdhl
𪞖	umyy
𪞗	umwy
𪞘	uwyn
𪞙	uyy
𪞚	unyy
𪞛	ulg
𪞜	urg
𪞝	ucfh
𪞞	udnt
𪞟	dwuu
𪞠	uwyb
𪞡	uwfi
𪞢	udff
𪞣	uham
𪞤	uwyn
𪞥	upfi
𪞦	uleg
𪞧	uwyq
𪞨	uyps
𪞩	uawy
𪞪	uwqu
𪞫	ugkt
𪞬	uujh
𪞭	uffq
𪞮	ufwc
𪞯	uype
𪞰	uucy
𪞱	fpmb
𪞲	mhkd
𪞳	tfum
𪞴	myfk
𪞵	mfvd
𪞶	tygb
𪞷	bmah
𪞸	ybtf
𪞹	bmvn
𪞺	bmen
𪞻	ybkd
𪞼	ybuw
𪞽	ybme
𪞾	fwjh
𪞿	gbnj
𪟀	vyn
𪟁	dcjh
𪟂	hkvn
𪟃	ddjh
𪟄	ubtj
𪟅	unwj
𪟆	ycej
𪟇	rwjh
𪟈	ftjj
𪟉	dufj
𪟊	degv
𪟋	afjh
𪟌	fkuj
𪟍	uejh
𪟎	jtyj
𪟏	tguj	tfuj
𪟐	wvqh
𪟑	yqkv
𪟒	yttj
𪟓	vbjx
𪟔	lwwj
𪟕	tadj
𪟖	vhgj
𪟗	lksj
𪟘	rgln
𪟙	vcln
𪟚	qkln
𪟛	ivyl
𪟜	iitl
𪟝	gmln
𪟞	llft
𪟟	qqlv	qjql
𪟠	ujln
𪟡	llsk
𪟢	uwll
𪟣	kkml
𪟤	gall
𪟥	agal
𪟦	llwy
𪟧	llll
𪟨	nxv
𪟩	xgdu
𪟪	uxgi
𪟫	xxrg
𪟬	aed
𪟭	aanh
𪟮	aqnr
𪟯	ajfd
𪟰	awtk
𪟱	aosd
𪟲	aujm
𪟳	tfqh
𪟴	dftn
𪟵	fjvy
𪟶	ufik
𪟷	hjch
𪟸	ufuy
𪟹	fpxc
𪟺	fjwj
𪟻	wywf
𪟼	ywww
𪟽	hbj
𪟾	fihi
𪟿	hjhy
𪠀	hpgf
𪠁	wgkb
𪠂	cvcb
𪠃	dcd
𪠄	djnv
𪠅	dfkd
𪠆	duak
𪠇	dfoi
𪠈	dkkn
𪠉	dhqh
𪠊	djdi
𪠋	dfhd
𪠌	dxdm
𪠍	ddei
𪠎	dwcn
𪠏	ddhc
𪠐	dwfg
𪠑	dgef
𪠒	deut
𪠓	damw
𪠔	drxc	dvcc
𪠕	dnwy
𪠖	dogy
𪠗	djbk
𪠘	dqeh
𪠙	duen
𪠚	dttl
𪠛	dkkt
𪠜	ycmh	gcmh
𪠝	fcnx
𪠞	qqfc
𪠟	cdeq
𪠠	ctdw
𪠡	cdew
𪠢	fcyw
𪠣	qcu
𪠤	vcy
𪠥	cef
𪠦	dfcy
𪠧	scy
𪠨	vcu
𪠩	wfic
𪠪	nhfc
𪠫	udrc
𪠬	vdcy
𪠭	rcbg
𪠮	pwwc
𪠯	akkc
𪠰	cccj
𪠱	bcfy
𪠲	kcu
𪠳	klh
𪠴	kqqy
𪠵	kwxn
𪠶	kwfg	kfwy
𪠷	kqkf
𪠸	kqiy
𪠹	pykf
𪠺	krvy
𪠻	kycq
𪠼	kmww
𪠽	kivg
𪠾	ktey
𪠿	kthh	kth
𪡀	ktdj
𪡁	kycq
𪡂	kcah	kcfh
𪡃	knud
𪡄	kalh
𪡅	gkkd
𪡆	krwn
𪡇	kwqi
𪡈	kwrg
𪡉	kkqh
𪡊	keet
𪡋	kwgi
𪡌	iqwk
𪡍	ykqh
𪡎	klwc
𪡏	klpy
𪡐	dklk
𪡑	skiv
𪡒	kfuf
𪡓	kjxx
𪡔	klah
𪡕	kqrr
𪡖	kqld
𪡗	krqw
𪡘	qqkh
𪡙	kyvb
𪡚	kitg
𪡛	kusk
𪡜	dukq
𪡝	kawn
𪡞	kkhm
𪡟	kwct
𪡠	kriy
𪡡	kqyg
𪡢	vkkj
𪡣	kpgm
𪡤	irek
𪡥	kiaw
𪡦	kuhb
𪡧	kusg
𪡨	knoy
𪡩	kmdo
𪡪	dfek
𪡫	kfke
𪡬	djtk
𪡭	ksgn
𪡮	kmfy
𪡯	kmun
𪡰	kkvb
𪡱	kdin
𪡲	vkgd
𪡳	ukck
𪡴	kynn
𪡵	kike
𪡶	kpqy
𪡷	kbwt
𪡸	kruv
𪡹	fnmk
𪡺	kgom
𪡻	ahjd
𪡼	kkhd
𪡽	kjfh
𪡾	kttg
𪡿	kega
𪢀	ktlt
𪢁	kyja
𪢂	kudh
𪢃	kybt
𪢄	knug
𪢅	krnf
𪢆	kftp
𪢇	kssp
𪢈	rgkv
𪢉	ktmk
𪢊	ktli
𪢋	kwsm
𪢌	kugi
𪢍	kxfk
𪢎	kbkg
𪢏	dfeb
𪢐	kgkm
𪢑	ktwk
𪢒	kovt
𪢓	yniw
𪢔	kyno
𪢕	kgqm
𪢖	ktqn
𪢗	kpnj
𪢘	kugi
𪢙	kgjh
𪢚	krjc
𪢛	kmqh
𪢜	kqgy
𪢝	ktfn
𪢞	xtbk
𪢟	kymd
𪢠	kaui
𪢡	tfkk
𪢢	fkug
𪢣	fkue
𪢤	ktdk
𪢥	kthp
𪢦	sksh
𪢧	kbgn
𪢨	lyi
𪢩	lgig
𪢪	ludk
𪢫	llk
𪢬	ljxx
𪢭	luog
𪢮	lyos
𪢯	lahq
𪢰	lkmy
𪢱	fhu
𪢲	fcy
𪢳	fcnb
