𰀀	gnv
𰀁	fhk
𰀂	agd
𰀃	gmb
𰀄	agd
𰀅	vygf
𰀆	gud
𰀇	gngn
𰀈	fhci
𰀉	gkhk
𰀊	mhgn
𰀋	akhk	alk
𰀌	gkmh
𰀍	giat
𰀎	hhhf
𰀏	hvey
𰀐	gtfc
𰀑	tfct
𰀒	gmww
𰀓	gjfm
𰀔	gjmf
𰀕	gmww
𰀖	glag
𰀗	hhhh
𰀘	gipw
𰀙	gdya
𰀚	gigt
𰀛	gjjf
𰀜	gigt
𰀝	egeg
𰀞	flnf
𰀟	gigh
𰀠	hui
𰀡	jcy
𰀢	jtyy
𰀣	nhfw
𰀤	vhgg	hvgg	mfgg
𰀥	nhnb
𰀦	nhnn
𰀧	nhmk
𰀨	lxih
𰀩	ygyg
𰀪	rtt
𰀫	tnv
𰀬	enwu
𰀭	tuxl
𰀮	wnni
𰀯	eiye
𰀰	nnnb
𰀱	bbb
𰀲	ginb
𰀳	ndnv
𰀴	tfnn
𰀵	tmnv
𰀶	ipnb
𰀷	mmnn
𰀸	bbb
𰀹	tnb
𰀺	ynin
𰀻	vknn
𰀼	nckd
𰀽	snb
𰀾	snv
𰀿	wanb
𰁀	nuak
𰁁	fhnb
𰁂	egln
𰁃	rgwn
𰁄	hwnb
𰁅	kfin
𰁆	tdkn
𰁇	vfiy
𰁈	nnhq
𰁉	jghn
𰁊	mjnb
𰁋	nkkk
𰁌	nuud
𰁍	jfcn
𰁎	qann
𰁏	nuuk
𰁐	hjln
𰁑	ebtn
𰁒	bbh
𰁓	fhch
𰁔	ghqh
𰁕	aff
𰁖	fwhj
𰁗	fnyu
𰁘	gfqg
𰁙	fmhw
𰁚	gfga	ghga
𰁛	fcjc
𰁜	you
𰁝	ynee
𰁞	yliu
𰁟	ynik
𰁠	ypml
𰁡	wtyy
𰁢	wnt
𰁣	wxn
𰁤	fqwi
𰁥	wmcy
𰁦	wty
𰁧	wwwy
𰁨	wthn
𰁩	wufk
𰁪	wccy
𰁫	wrsh
𰁬	wmdy
𰁭	wenn
𰁮	rwy
𰁯	wyni
𰁰	xjwu
𰁱	wdnn
𰁲	wfmg
𰁳	warh
𰁴	wfgf
𰁵	wfbg
𰁶	wamh
𰁷	wjhn
𰁸	wivg
𰁹	wjh
𰁺	whmq
𰁻	wkmh
𰁼	wtmk
𰁽	wjwj
𰁾	wqmy
𰁿	wlkf
𰂀	wrgk
𰂁	wyjh
𰂂	wiag
𰂃	wvfy
𰂄	wxwg
𰂅	wgkm
𰂆	wfnf
𰂇	wmy
𰂈	whiv
𰂉	wtey
𰂊	wqdk
𰂋	wujg
𰂌	wynk
𰂍	wcic
𰂎	wueg
𰂏	wfnd
𰂐	wdwv
𰂑	wgmy
𰂒	wmum
𰂓	wtfx
𰂔	wywy
𰂕	woef
𰂖	wxjh
𰂗	wgkh
𰂘	wdud
𰂙	wgtj
𰂚	wgje
𰂛	wmff
𰂜	wkhm
𰂝	whgh
𰂞	wynw
𰂟	wgng
𰂠	wxfy
𰂡	wccf
𰂢	wsny
𰂣	wsyn
𰂤	swwf
𰂥	wstl
𰂦	whan
𰂧	wkwf
𰂨	wwnp
𰂩	wpyg
𰂪	wmty
𰂫	witr
𰂬	wqjg
𰂭	wmjr
𰂮	whfi
𰂯	wtvh
𰂰	wuoj
𰂱	wipr
𰂲	wipq
𰂳	wplp
𰂴	wwqb
𰂵	wton
𰂶	wyje
𰂷	wuqm
𰂸	wule
𰂹	wpfx
𰂺	wgck
𰂻	weum
𰂼	wukq
𰂽	wxjj
𰂾	wddj
𰂿	swwk
𰃀	wptl
𰃁	wybo
𰃂	wfko
𰃃	aflt
𰃄	swwj
𰃅	wxtm
𰃆	wtfm
𰃇	wnlw
𰃈	wxji
𰃉	wjym
𰃊	qhd
𰃋	ekqb
𰃌	iqlv
𰃍	diqb
𰃎	rhjq
𰃏	fqtf
𰃐	iqde
𰃑	iqim
𰃒	iqqn
𰃓	pegq
𰃔	iqiq
𰃕	iqfn
𰃖	tyfj
𰃗	tyfe
𰃘	tyid
𰃙	rgky
𰃚	tylj
𰃛	gkuy
𰃜	tyas
𰃝	ufny
𰃞	tuu
𰃟	cwi
𰃠	wcmw
𰃡	kljw
𰃢	wgnj
𰃣	uwgk
𰃤	udwf
𰃥	usvg
𰃦	tmv
𰃧	mtfd
𰃨	muci
𰃩	mfjd
𰃪	mvgh
𰃫	pdhb
𰃬	amhn
𰃭	mnww
𰃮	ipb	ipv
𰃯	pguh
𰃰	pmf
𰃱	pvlf
𰃲	piss
𰃳	pujm
𰃴	pujm
𰃵	ufh
𰃶	umqy
𰃷	uwbn
𰃸	uynt
𰃹	uug
𰃺	uhcy
𰃻	uxxf
𰃼	ugxw
𰃽	uqjg
𰃾	uyve
𰃿	ufnd
𰄀	urug
𰄁	rcee
𰄂	ufak
𰄃	udjf
𰄄	uuej
𰄅	ufpi
𰄆	uipq
𰄇	uwyx
𰄈	ufvg
𰄉	ukhe
𰄊	unrg
𰄋	ukhi
𰄌	ueaj
𰄍	ufup
𰄎	uqve
𰄏	uqoj
𰄐	mwga
𰄑	tymg
𰄒	mmgg
𰄓	hgmu
𰄔	bmbm
𰄕	bmdb
𰄖	qtjg
𰄗	hgmn
𰄘	bmyb
𰄙	wjh
𰄚	ngjh
𰄛	vqyy
𰄜	njh
𰄝	nrjh
𰄞	fnyj
𰄟	gijh
𰄠	fcvn
𰄡	vqrt
𰄢	yvn
𰄣	uxvb
𰄤	vqnn
𰄥	vyyy
𰄦	uvb
𰄧	vgqj
𰄨	dahj
𰄩	thjh
𰄪	qsvn
𰄫	vtmk
𰄬	dpjh
𰄭	gmyj
𰄮	vfiy
𰄯	gojh
𰄰	tfpj
𰄱	wvsg
𰄲	qvit
𰄳	fjgv
𰄴	djnv
𰄵	qsjv
𰄶	vcde
𰄷	vrtd
𰄸	vmjh
𰄹	mjvn
𰄺	upmj
𰄻	lpjh
𰄼	qsjg
𰄽	onrv
𰄾	gwwj
𰄿	fpgv
𰅀	vsss
𰅁	vpdj
𰅂	nftj
𰅃	sqsv
𰅄	pwfj
𰅅	aflj
𰅆	gmif
𰅇	umdv
𰅈	qkqj
𰅉	fjln
𰅊	jglb
𰅋	uxln
𰅌	lnan
𰅍	guwl
𰅎	ltfh
𰅏	lkhn
𰅐	bllf
𰅑	fjll
𰅒	qtve
𰅓	vcal
𰅔	hanl
𰅕	gmal
𰅖	gqjl
𰅗	ltqh
𰅘	egli
𰅙	gatl
𰅚	lkyn
𰅛	qwi
𰅜	qrln
𰅝	qcqy
𰅞	wsqn
𰅟	qnaw
𰅠	qtjn
𰅡	ftxn
𰅢	xxqw
𰅣	dqux
𰅤	ati
𰅥	afnd
𰅦	aijf
𰅧	ashd
𰅨	alrk
𰅩	avwm
𰅪	afci
𰅫	aqbk
𰅬	akhc
𰅭	wfj
𰅮	efj
𰅯	nnnf
𰅰	fmhg
𰅱	qbfj
𰅲	anfj
𰅳	dufj
𰅴	fmdu
𰅵	xqbf
𰅶	dcb
𰅷	fvhg
𰅸	fdey
𰅹	fmhc
𰅺	xfmf
𰅻	wxfl
𰅼	ufso
𰅽	adwy
𰅾	upya
𰅿	udfe
𰆀	fmuf
𰆁	taaf
𰆂	fmuf
𰆃	hldi
𰆄	hjhd
𰆅	hlgk
𰆆	hmfh
𰆇	hmcc
𰆈	hmwd
𰆉	hmab
𰆊	bnh
𰆋	bbh
𰆌	jbj
𰆍	tfbh
𰆎	ebyy
𰆏	thbj
𰆐	jfbj
𰆑	ftjb
𰆒	tobj
𰆓	dwwy
𰆔	nhky
𰆕	dyqi
𰆖	dfqv
𰆗	dyi
𰆘	dtgd
𰆙	dgui
𰆚	dwgi
𰆛	dfyn
𰆜	dhic
𰆝	djyv
𰆞	dvvv
𰆟	doef
𰆠	dfye
𰆡	dffw
𰆢	dffc
𰆣	dffc
𰆤	drvc
𰆥	dujn
𰆦	dxxv
𰆧	diqk
𰆨	dawu
𰆩	drde
𰆪	dafd
𰆫	dfyl
𰆬	drii
𰆭	cmyu
𰆮	cdfq
𰆯	fcjf
𰆰	ttcu
𰆱	gicy
𰆲	bhgc
𰆳	cwxn
𰆴	yhcu
𰆵	eyfk
𰆶	cvhh	chvg	cmfg
𰆷	cdnj
𰆸	hcu
𰆹	mcy
𰆺	thfc
𰆻	cffg
𰆼	bcbc
𰆽	ccqc
𰆾	eyud
𰆿	wwnc
𰇀	hpgm
𰇁	cyce
𰇂	ebcu
𰇃	cccq
𰇄	tjtc
𰇅	cdmh	ccdh
𰇆	cccc
𰇇	kfg
𰇈	uknb
𰇉	xkf
𰇊	kfny
𰇋	mykf
𰇌	takf
𰇍	cckf
𰇎	kaiy
𰇏	khg
𰇐	klg
𰇑	mmgk
𰇒	kwtn
𰇓	kymh
𰇔	fwkx
𰇕	kguw
𰇖	kfcl
𰇗	krkg
𰇘	kmjh
𰇙	mykx
𰇚	kqwh
𰇛	kwdy
𰇜	krnq
𰇝	pkcu
𰇞	kyjj
𰇟	ymik
𰇠	lkwx
𰇡	kxtn
𰇢	kcsy
𰇣	kcat
𰇤	dkxb
𰇥	kdnp
𰇦	kfgb
𰇧	kfnw
𰇨	kwkx
𰇩	mkf
𰇪	kkkh
𰇫	kcb
𰇬	kqyy
𰇭	pvyk
𰇮	eywk
𰇯	vfbk
𰇰	knfy
𰇱	kgnk
𰇲	kwym
𰇳	kqky
𰇴	wgku
𰇵	krnr
𰇶	kduf
𰇷	kyty
𰇸	kynh
𰇹	kifc
𰇺	yvwk
𰇻	kbdi
𰇼	kcde
𰇽	kntj
𰇾	ngkk
𰇿	gkux
𰈀	fhkx
𰈁	kriq
𰈂	kgct
𰈃	krxj
𰈄	krwk
𰈅	mjdx	ljfx
𰈆	kjtq
𰈇	kpic
𰈈	khah
𰈉	kuxe
𰈊	khko
𰈋	kqtj
𰈌	iitx
𰈍	kusu
𰈎	kphi
𰈏	kecl
𰈐	kvyb
𰈑	adwx
𰈒	kdmn
𰈓	kjtl
𰈔	kley
𰈕	rnrx
𰈖	djdx
𰈗	tdkx
𰈘	ktwt
𰈙	ktem
𰈚	kprw
𰈛	yvek
𰈜	puvk
𰈝	kbmy
𰈞	knhh
𰈟	gdkk	gdgk
𰈠	ndhx
𰈡	kumt
𰈢	ktjg
𰈣	kwhe
𰈤	ktug
𰈥	keuq
𰈦	kwgl
𰈧	temk
𰈨	ktdp
𰈩	gdkm
𰈪	kakn
𰈫	gvkd
𰈬	kkkt
𰈭	kwyo
𰈮	kxaf
𰈯	kfmd
𰈰	kjec
𰈱	ktfw
𰈲	kqrw
𰈳	tydk
𰈴	yssx
𰈵	pgkx
𰈶	kxgf
𰈷	ftjx
𰈸	kbci
𰈹	kgku
𰈺	fkuk
𰈻	kkjn
𰈼	kwym
𰈽	ykqs
𰈾	kdno
𰈿	khqf
𰉀	kwsm
𰉁	kutm
𰉂	kumt
𰉃	kiaf
𰉄	ktfm
𰉅	kqmm
𰉆	krps
𰉇	fkue
𰉈	qojd
𰉉	kqod
𰉊	krmj
𰉋	kynd
𰉌	kueh
𰉍	lwyn
𰉎	lnhd
𰉏	lhkd
𰉐	ldf
𰉑	lduf
𰉒	dwwk
𰉓	lkdf
𰉔	ladm
𰉕	fnb
𰉖	fan
𰉗	ufd
𰉘	ffnh
𰉙	fmqy
𰉚	fmqn
𰉛	gdff
𰉜	fwyn
𰉝	ftfn
𰉞	fxhh
𰉟	fuxn
𰉠	ftdc
𰉡	ftuy
𰉢	uff
𰉣	fcfh
𰉤	hcff
𰉥	fguw
𰉦	fdeg
𰉧	ddfd
𰉨	fbfh
𰉩	ftdj
𰉪	fwxf
𰉫	fwqb
𰉬	fmgq
𰉭	fqjf
𰉮	fgki
𰉯	dnnf
𰉰	ffmd
𰉱	fwgi
𰉲	fqkq
𰉳	frfh
𰉴	fpwl
𰉵	fntn
𰉶	fikg
𰉷	fdfg
𰉸	aqaf
𰉹	swcf
𰉺	fqoy
𰉻	fepc
𰉼	eeff
𰉽	fipb
𰉾	fywy
𰉿	cqof
𰊀	vckf
𰊁	fsry
𰊂	fgkh
𰊃	fglg
𰊄	fith
𰊅	fqku
𰊆	ftdi
𰊇	irgf
𰊈	nhdf
𰊉	ugef
𰊊	fuxx
𰊋	fnut
𰊌	fnaf
𰊍	ffke
𰊎	dhfk
𰊏	fdns
𰊐	flwt
𰊑	fjtl
𰊒	fana
𰊓	fljn
𰊔	fthn
𰊕	fomk
𰊖	iksf
𰊗	fpwf
𰊘	fbti
𰊙	fpmf
𰊚	fakw
𰊛	fakm
𰊜	fgmy
𰊝	ffhs
𰊞	fhmk
𰊟	fagw
𰊠	fiph
𰊡	fuqv
𰊢	ilrf
𰊣	ioof
𰊤	yaof
𰊥	fukg
𰊦	ffkk
𰊧	ffhs
𰊨	fusy
𰊩	kahf
𰊪	kkaf
𰊫	ftvh
𰊬	fwgn
𰊭	rjcp
𰊮	fwtl
𰊯	ttjf
𰊰	fthu
𰊱	fyin
𰊲	mytf
𰊳	fffd
𰊴	flfg
𰊵	fwyu
𰊶	ajmf
𰊷	fxn	fmgv
𰊸	fydt
𰊹	fddm
𰊺	fipj
