wubi86.109.dict.yaml

U+9FB8	龸	ipb	ipv
U+9FC3	鿃	hdty	hdww
U+9FEE	鿮	ygkh	ygmh
U+4DBF	䶿	wpqn	wyvq
U+2A6D7	𪛗	wgkf	wgmn
U+2A6D8	𪛘	lhng	mqnv
U+2A6D9	𪛙	ggll	nnll
U+2A6DA	𪛚	hhgg	hnv
U+2A6DB	𪛛	nyi	nnv
U+2A6DC	𪛜	aaaa	ghnv
U+2A6DD	𪛝	myi	tnyi

wubi86.extc.dict.yaml

U+2A702	𪜂	dnyi	gvyu
U+2A70A	𪜊	ynb	ynv
U+2A71A	𪜚	inst	istn
U+2A776	𪝶	wynn	wynx
U+2A7CF	𪟏	tguj	tfuj
U+2A7DF	𪟟	qqql	qjql
U+2A836	𪠶	kwfg	kfwy
U+2A83F	𪠿	kthh	kth
U+2A927	𪤧	fvgw	fwfw
U+2A92D	𪤭	fhbh	fhwb
U+2A951	𪥑	dfin	dfie
U+2A958	𪥘	ukhd	uskd
U+2AA5F	𪩟	mhbn	mhwn
U+2AAC8	𪫈	fkwe	gkhe
U+2AB0D	𪬍	nhkn	nhky
U+2AB17	𪬗	ntgf	ntff
U+2AB35	𪬵	vfjn	vhtn
U+2AB40	𪭀	ujun	uytn
U+2AB43	𪭃	nghl	nfll
U+2AB95	𪮕	rnuh	rnuj
U+2AB9C	𪮜	rtgf	rtff
U+2ABE2	𪯢	yyy	aya
U+2AC5B	𪱛	vted	vtef
U+2AC5F	𪱟	gjge	gyte
U+2AC82	𪲂	sjnn	snjg
U+2ACE7	𪳧	sqdb	sdqb	sddb
U+2AD12	𪴒	rrcy	srcy
U+2AD24	𪴤	svqq	swfq
U+2ADB3	𪶳	iqku	iqju
U+2ADFE	𪷾	itxg	itmg
U+2AE3B	𪸻	ojyc	oyqy
U+2AE6A	𪹪	ogfn	oghn
U+2AE70	𪹰	oycy	oywy
U+2AE8B	𪺋	ttxo	ttmo
U+2AE91	𪺑	whye	rhye
U+2AF30	𪼰	gvgr	gwfr
U+2AF97	𪾗	wprl	wyvl
U+2AFB6	𪾶	htgf	htff
U+2B00D	𫀍	pyjt	pyjy
U+2B026	𫀦	tsyi	tsyu
U+2B09D	𫂝	tqmq	tqmt
U+2B0B1	𫂱	tohk	tohh
U+2B0B7	𫂷	oqfh	otyf
U+2B10E	𫄎	xnlv	xnkv
U+2B111	𫄑	xwyv	xwpv
U+2B198	𫆘	efyy	eyhy
U+2B295	𫊕	atft	adwt
U+2B296	𫊖	aeyj	aeyf
U+2B2A2	𫊢	hayf	hayf
U+2B2BD	𫊽	jkqj	jklj
U+2B2D1	𫋑	jgqg	jgyg
U+2B2D9	𫋙	jxcj	jxkj
U+2B344	𫍄	ynuh	ynuj
U+2B3F9	𫏹	lrr	ltfh
U+2B402	𫐂	plvl	pkgl
U+2B403	𫐃	llel	lexl
U+2B428	𫐨	foyp	fopi
U+2B4B8	𫒸	qfkq	qfkm
U+2B4D3	𫓓	vtpq	wftq
U+2B545	𫕅	byjg	byjf
U+2B584	𫖄	wtnd	wwnd
U+2B586	𫖆	akfw	afkw
U+2B5CE	𫗎	wpan	wyvn
U+2B5CF	𫗏	wpde	wyve
U+2B5D0	𫗐	wpwg	wyvg
U+2B5D1	𫗑	wpqc	wyvc
U+2B5D2	𫗒	wppv	wyvv
U+2B5D3	𫗓	wptk	wyvk
U+2B5D4	𫗔	wpsd	wyvd
U+2B5D5	𫗕	wpff	wyvf
U+2B5D6	𫗖	wpdd	wyvd
U+2B5D7	𫗗	wpnh	wyvh
U+2B5D8	𫗘	wptl	wyvl
U+2B5D9	𫗙	wpgm	wyvm
U+2B5DB	𫗛	wppj	wyvj
U+2B5DC	𫗜	wpfj	wyvj
U+2B5DD	𫗝	wpal	wyvl
U+2B5FF	𫗿	tjnh	tjnj
U+2B683	𫚃	vqqo	wfqo
U+2B6B2	𫚲	pmwo	pqwo
U+2B6BD	𫚽	mtfo	mgwo
U+2B707	𫜇	hloo	hlqo
U+2B709	𫜉	hloy	hlqy
U+2B71B	𫜛	lfoh	lfoj
U+2B71D	𫜝	kkxb	kkmv
U+2B71E	𫜞	lfox	lfov
U+2B725	𫜥	hbmm	hwwm
U+2B726	𫜦	hbgy	hwwy
U+2B727	𫜧	hbps	hwws

wubi86.extd.dict.yaml

U+2B742	𫝂	geth	guth
U+2B744	𫝄	twu	twi
U+2B76F	𫝯	vgnb	wfgb
U+2B7CB	𫟋	vgnw	wfgw
U+2B819	𫠙	hbmc	hwwc
U+2B81B	𫠛	hbjg	hwwg
